ins_addr,mnemonic,op_str,global_off,context
0x0f1f,mov,"ax, word ptr [0x5b78]",0x5b78,"0x0f17:lcall 0x3f7, 0x752 || 0x0f1c:add sp, 4 || 0x0f1f:mov ax, word ptr [0x5b78] || 0x0f22:mov word ptr [bp - 0x10], ax || 0x0f25:mov word ptr [bp - 0xe], si"
0x0f28,mov,"ax, word ptr [0x5b7c]",0x5b7c,"0x0f22:mov word ptr [bp - 0x10], ax || 0x0f25:mov word ptr [bp - 0xe], si || 0x0f28:mov ax, word ptr [0x5b7c] || 0x0f2b:mov word ptr [bp - 0x28], ax || 0x0f2e:mov word ptr [0x9a], si"
0x0f35,cmp,"word ptr [0x5b7a], si",0x5b7a,"0x0f2e:mov word ptr [0x9a], si || 0x0f32:mov word ptr [bp - 0x18], si || 0x0f35:cmp word ptr [0x5b7a], si || 0x0f39:jne 0xf3e || 0x0f3b:jmp 0x131c"
0x0f62,mov,"al, byte ptr [0x5b68]",0x5b68,"0x0f5d:mov ax, word ptr [0x9e] || 0x0f60:jmp 0xf68 || 0x0f62:mov al, byte ptr [0x5b68] || 0x0f65:and ax, 1 || 0x0f68:mov word ptr [bp - 2], ax"
0x0f7b,push,word ptr [0x5b72],0x5b72,0x0f75:push word ptr [bp - 0xe] || 0x0f78:push word ptr [bp - 0x10] || 0x0f7b:push word ptr [0x5b72] || 0x0f7f:push word ptr [0x5b70] || 0x0f83:push word ptr [bp + 6]
0x0f7f,push,word ptr [0x5b70],0x5b70,"0x0f78:push word ptr [bp - 0x10] || 0x0f7b:push word ptr [0x5b72] || 0x0f7f:push word ptr [0x5b70] || 0x0f83:push word ptr [bp + 6] || 0x0f86:lcall 0x2f7, 0x24c"
0x10d7,cmp,"word ptr [0x5b74], si",0x5b74,"0x10d1:add word ptr [bp - 0x14], ax || 0x10d4:adc word ptr [bp - 0x12], dx || 0x10d7:cmp word ptr [0x5b74], si || 0x10db:ja 0x10e8 || 0x10dd:mov ax, word ptr [0x5b74]"
0x10dd,mov,"ax, word ptr [0x5b74]",0x5b74,"0x10d7:cmp word ptr [0x5b74], si || 0x10db:ja 0x10e8 || 0x10dd:mov ax, word ptr [0x5b74] || 0x10e0:add ax, word ptr [0x5b76] || 0x10e4:cmp ax, si"
0x10e0,add,"ax, word ptr [0x5b76]",0x5b76,"0x10db:ja 0x10e8 || 0x10dd:mov ax, word ptr [0x5b74] || 0x10e0:add ax, word ptr [0x5b76] || 0x10e4:cmp ax, si || 0x10e6:ja 0x1106"
0x10e9,mov,"ax, word ptr [0x5b74]",0x5b74,"0x10e6:ja 0x1106 || 0x10e8:push si || 0x10e9:mov ax, word ptr [0x5b74] || 0x10ec:add ax, word ptr [0x5b76] || 0x10f0:dec ax"
0x10ec,add,"ax, word ptr [0x5b76]",0x5b76,"0x10e8:push si || 0x10e9:mov ax, word ptr [0x5b74] || 0x10ec:add ax, word ptr [0x5b76] || 0x10f0:dec ax || 0x10f1:push ax"
0x10f2,push,word ptr [0x5b74],0x5b74,0x10f0:dec ax || 0x10f1:push ax || 0x10f2:push word ptr [0x5b74] || 0x10f6:push ds || 0x10f7:push 0x90f
0x1173,cmp,"word ptr [0x5b78], si",0x5b78,"0x116b:lcall 0x3f7, 0x752 || 0x1170:add sp, 6 || 0x1173:cmp word ptr [0x5b78], si || 0x1177:ja 0x1184 || 0x1179:mov ax, word ptr [0x5b78]"
0x1179,mov,"ax, word ptr [0x5b78]",0x5b78,"0x1173:cmp word ptr [0x5b78], si || 0x1177:ja 0x1184 || 0x1179:mov ax, word ptr [0x5b78] || 0x117c:add ax, word ptr [0x5b7a] || 0x1180:cmp ax, si"
0x117c,add,"ax, word ptr [0x5b7a]",0x5b7a,"0x1177:ja 0x1184 || 0x1179:mov ax, word ptr [0x5b78] || 0x117c:add ax, word ptr [0x5b7a] || 0x1180:cmp ax, si || 0x1182:ja 0x11a1"
0x1184,mov,"ax, word ptr [0x5b78]",0x5b78,"0x1180:cmp ax, si || 0x1182:ja 0x11a1 || 0x1184:mov ax, word ptr [0x5b78] || 0x1187:add ax, word ptr [0x5b7a] || 0x118b:dec ax"
0x1187,add,"ax, word ptr [0x5b7a]",0x5b7a,"0x1182:ja 0x11a1 || 0x1184:mov ax, word ptr [0x5b78] || 0x1187:add ax, word ptr [0x5b7a] || 0x118b:dec ax || 0x118c:push ax"
0x118d,push,word ptr [0x5b78],0x5b78,0x118b:dec ax || 0x118c:push ax || 0x118d:push word ptr [0x5b78] || 0x1191:push ds || 0x1192:push 0x974
0x130b,mov,"ax, word ptr [0x5b7a]",0x5b7a,"0x1303:add word ptr [bp - 0x10], 1 || 0x1307:adc word ptr [bp - 0xe], 0 || 0x130b:mov ax, word ptr [0x5b7a] || 0x130e:inc word ptr [bp - 0x18] || 0x1311:cmp word ptr [bp - 0x18], ax"
0x137e,test,"byte ptr [0x5b68], 1",0x5b68,"0x1376:lcall 0x3f7, 0x752 || 0x137b:add sp, 6 || 0x137e:test byte ptr [0x5b68], 1 || 0x1383:je 0x13a2 || 0x1385:lea ax, [si + 1]"
0x13cf,cmp,"dx, word ptr [0x5b6e]",0x5b6e,"0x13c9:mov word ptr [bp - 4], ax || 0x13cc:mov word ptr [bp - 2], dx || 0x13cf:cmp dx, word ptr [0x5b6e] || 0x13d3:jb 0x13f7 || 0x13d5:ja 0x13dd"
0x13d7,cmp,"ax, word ptr [0x5b6c]",0x5b6c,"0x13d3:jb 0x13f7 || 0x13d5:ja 0x13dd || 0x13d7:cmp ax, word ptr [0x5b6c] || 0x13db:jbe 0x13f7 || 0x13dd:push word ptr [0x5b6e]"
0x13dd,push,word ptr [0x5b6e],0x5b6e,"0x13d7:cmp ax, word ptr [0x5b6c] || 0x13db:jbe 0x13f7 || 0x13dd:push word ptr [0x5b6e] || 0x13e1:push word ptr [0x5b6c] || 0x13e5:push dx"
0x13e1,push,word ptr [0x5b6c],0x5b6c,0x13db:jbe 0x13f7 || 0x13dd:push word ptr [0x5b6e] || 0x13e1:push word ptr [0x5b6c] || 0x13e5:push dx || 0x13e6:push ax
0x13f7,mov,"ax, word ptr [0x5b50]",0x5b50,"0x13f0:add sp, 0xc || 0x13f3:inc word ptr [0xa0] || 0x13f7:mov ax, word ptr [0x5b50] || 0x13fa:mov dx, word ptr [0x5b52] || 0x13fe:cmp word ptr [bp - 0x14], ax"
0x13fa,mov,"dx, word ptr [0x5b52]",0x5b52,"0x13f3:inc word ptr [0xa0] || 0x13f7:mov ax, word ptr [0x5b50] || 0x13fa:mov dx, word ptr [0x5b52] || 0x13fe:cmp word ptr [bp - 0x14], ax || 0x1401:jne 0x1408"
0x1438,mov,"al, byte ptr [0x5b68]",0x5b68,"0x1433:mov ax, word ptr [0x9e] || 0x1436:jmp 0x143e || 0x1438:mov al, byte ptr [0x5b68] || 0x143b:and ax, 1 || 0x143e:mov word ptr [bp - 2], ax"
0x1450,push,word ptr [0x5b72],0x5b72,0x144b:push 0 || 0x144d:push word ptr [bp + 8] || 0x1450:push word ptr [0x5b72] || 0x1454:push word ptr [0x5b70] || 0x1458:push word ptr [bp + 6]
0x1454,push,word ptr [0x5b70],0x5b70,"0x144d:push word ptr [bp + 8] || 0x1450:push word ptr [0x5b72] || 0x1454:push word ptr [0x5b70] || 0x1458:push word ptr [bp + 6] || 0x145b:lcall 0x2f7, 0x24c"
0x147e,mov,"bh, byte ptr [0x5b69]",0x5b69,"0x147c:leave  || 0x147d:retf  || 0x147e:mov bh, byte ptr [0x5b69] || 0x1482:and bx, 0x8000 || 0x1486:cmp bx, 1"
0x1568,push,word ptr [0x5b88],0x5b88,0x1566:push ss || 0x1567:push ax || 0x1568:push word ptr [0x5b88] || 0x156c:push word ptr [0x5b86] || 0x1570:push word ptr [0x5b84]
0x156c,push,word ptr [0x5b86],0x5b86,0x1567:push ax || 0x1568:push word ptr [0x5b88] || 0x156c:push word ptr [0x5b86] || 0x1570:push word ptr [0x5b84] || 0x1574:push word ptr [0x5b80]
0x1570,push,word ptr [0x5b84],0x5b84,0x1568:push word ptr [0x5b88] || 0x156c:push word ptr [0x5b86] || 0x1570:push word ptr [0x5b84] || 0x1574:push word ptr [0x5b80] || 0x1578:push word ptr [0x5b80]
0x1574,push,word ptr [0x5b80],0x5b80,0x156c:push word ptr [0x5b86] || 0x1570:push word ptr [0x5b84] || 0x1574:push word ptr [0x5b80] || 0x1578:push word ptr [0x5b80] || 0x157c:push word ptr [bp + 6]
